preprocessing_step,snr,cnr,mse,psnr,ssim,relative_psnr,relative_rmse,file_path
No preprocessing,13.040065,12.36299,-1,-1,-1,17.873505353927612,706.14014,data/raw_pt/sub-A00000838_ses-20100101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,8.675944,8.035379,-1,-1,-1,19.390299320220947,902.1403,data/raw_pt/sub-A00022619_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.496019,9.883984,-1,-1,-1,18.87839674949646,892.79474,data/raw_pt/sub-A00021591_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.673019,9.92899,-1,-1,-1,18.138446807861328,603.0869,data/raw_pt/sub-A00000300_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,12.265148,11.651152,-1,-1,-1,17.759411334991455,732.8117,data/raw_pt/sub-A00018553_ses-20110101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.533716,8.887694,-1,-1,-1,18.721699714660645,714.96136,data/raw_pt/sub-A00018434_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.820659,9.148322,-1,-1,-1,15.971379280090332,551.46765,data/raw_pt/sub-A00003150_ses-20110101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.923243,10.328013,-1,-1,-1,18.83362889289856,728.2883,data/raw_pt/sub-A00038624_ses-20130101_acq-mprage_run-02_echo-01_T1w.nii.pt
No preprocessing,8.56298,7.935835,-1,-1,-1,15.69995641708374,609.3046,data/raw_pt/sub-A00036897_ses-20130101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.963619,10.234443,-1,-1,-1,16.684863567352295,527.9769,data/raw_pt/sub-A00027616_ses-20090101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,10.199869,9.522527,-1,-1,-1,16.648128032684326,532.4704,data/raw_pt/sub-A00036049_ses-20130101_acq-mprage_run-01_T1w.nii.pt
No preprocessing,9.097882,8.42751,-1,-1,-1,19.142624139785767,828.53534,data/raw_pt/sub-A00025969_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,9.040775,8.391475,-1,-1,-1,18.76874804496765,811.25385,data/raw_pt/sub-A00014636_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.292809,9.719268,-1,-1,-1,16.954960823059082,584.1987,data/raw_pt/sub-A00001452_ses-20100101_acq-mprage_run-01_echo-01_T1w.nii.pt
No preprocessing,10.080521,9.407556,-1,-1,-1,21.536669731140137,1232.3921,data/raw_pt/sub-A00014898_ses-20090101_acq-mprage_run-01_echo-01_T1w.nii.pt
